Composite_Element_REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg00000292	0.832075270566315	ATP2A1	16	28890100
cg00002426	0.0521314537236634	SLMAP	3	57743543
cg00003994	0.287045938140782	MEOX2	7	15725862
cg00005847	0.570248367178728	HOXD3	2	177029073
cg00006414	NA	ZNF425;ZNF398	7	148822837
cg00007981	0.0510942507627418	PANX1	11	93862594
cg00008493	0.989874796822498	COX8C;KIAA1409	14	93813777
cg00008713	0.00736882851593645	IMPA2	18	11980953
cg00009407	0.00830741055147288	TTC8	14	89290921
cg00010193	0.900418579799317	NA	NA	0
cg00011459	0.758048861548621	TMEM186;PMM2	16	8890425
cg00012199	0.0136167681289659	ANG;RNASE4	14	21151024
cg00012386	0.00857729728001672	JMJD4;SNAP47	1	227922512
cg00012792	0.0102722242425602	MUTED	6	8064493
cg00013618	0.920089199093812		22	22380839
cg00014085	0.0194055843588702	ELMOD3;RETSAT	2	85581505
cg00014837	NA	ACRBP	12	6757257
cg00015770	0.0717224211029062	QRFPR	4	122302007
cg00016968	0.320208169073736	RHOC	1	113250448
cg00019495	0.0409510772243592	HOPX	4	57547525
cg00020533	0.966697200396981	TULP1	6	35480916
cg00021527	0.0183125043374388	TAF15	17	34136180
cg00022606	NA	TBC1D20	20	442445
cg00022866	0.400391964572296	CCDC88B	11	64108440
cg00024396	0.01063460139769	ELOVL5	6	53214008
cg00024812	0.0220338978556504	ITGB1BP1;CPSF3	2	9564248
cg00025138	0.0201806328080862	MAP3K9	14	71275917
cg00025991	0.31054011151081	DIP2C	10	736625
cg00027083	0.200899311179006	EPB41L3	18	5543801
cg00027674	NA	RAB38	11	87908897
cg00029826	0.0936496277015972	CCNB1IP1	14	20801459
cg00029931	0.194068724021247	RPL36A	X	100645741
cg00030047	0.90010390871866	RNF207	1	6268790
cg00031162	0.668864838861684	TNFSF12;TNFSF12-TNFSF13	17	7453377
cg00032227	0.0130899911790387	TMEM104;NAT9	17	72772512
cg00032666	NA	MAMLD1	X	149613398
cg00033516	0.0196935904612379	FLJ13197;KLF3	4	38666773
cg00033773	0.707304849950135	MORG1;C19orf56	19	12779366
cg00034039	0.0377010761553992	C9orf85;FAM108B1	9	74526266
cg00035347	NA	NT5C2	10	104953608
cg00035623	0.0737649339929622	UBE2S	19	55919836
cg00037763	0.977517597766303	SETBP1	18	42281763
cg00037940	0.912469158342453	PIK3CB	3	138479285
cg00040861	0.0159282372415742	LSM7;SPPL2B	19	2328391
cg00040873	0.0490041055298032	NDUFB10	16	2009157
cg00041575	0.744183686557864	C11orf21;TSPAN32	11	2322741
cg00042156	NA	LOC84856	10	42970842
cg00043004	0.0185097488033493	NOXO1	16	2030892
cg00043080	NA	PLD3;C19orf47	19	40853155
